Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,distance,City_Name,month,day_of_week,weekend,day,quarter,Food_preparation_time,pickup_cluster,dropoff_cluster,Time_taken(min)
37.0,4.9,5,3.0,2,3,2,0.0,0,2.0,2.0542813576594328,10,3,5,1,19,1,15.0,8,8,24
34.0,4.5,4,4.0,2,3,3,1.0,0,3.0,14.10791214837984,3,3,4,0,25,1,5.0,11,11,33
23.0,4.4,3,1.0,0,1,2,1.0,0,2.0,1.0852187455832412,3,3,5,1,19,1,15.0,11,11,26
38.0,4.7,5,2.0,0,0,2,1.0,0,3.0,5.4643102703732955,6,4,1,0,5,2,10.0,5,5,21
32.0,4.6,0,3.0,1,3,3,1.0,0,3.0,4.339862440549708,5,3,5,1,26,1,15.0,0,0,30
22.0,4.8,0,4.0,0,0,2,1.0,0,2.0,3.1871714649192935,9,3,4,0,11,1,10.0,6,6,26
33.0,4.7,1,4.0,1,2,3,1.0,0,3.0,11.24652816164967,19,3,4,0,4,1,15.0,2,2,40
35.0,4.6,0,2.0,2,2,2,1.0,0,3.0,14.138706831070754,17,3,0,0,14,1,5.0,18,18,32
22.0,4.8,4,4.0,0,0,2,1.0,0,3.0,13.810915029985402,9,3,6,1,20,1,10.0,6,13,34
36.0,4.2,1,4.0,2,3,2,3.0,0,3.0,6.731720330832923,7,2,5,1,12,1,15.0,17,17,46
21.0,4.7,4,3.0,1,2,2,1.0,0,3.0,4.385533468931023,13,2,6,1,13,1,10.0,5,5,23
23.0,4.7,3,2.0,1,1,3,1.0,0,3.0,9.50077408295429,18,3,4,0,4,1,10.0,7,7,21
34.0,4.3,3,1.0,0,0,2,0.0,0,3.0,1.9120838368128996,15,2,6,1,13,1,10.0,9,9,20
24.0,4.7,1,4.0,1,3,3,1.0,0,3.0,12.963802627420018,12,2,0,0,14,1,15.0,10,10,41
29.0,4.5,3,4.0,2,0,1,1.0,0,3.0,9.466257795811735,16,4,5,1,2,2,10.0,15,15,20
35.0,4.0,6,3.0,1,2,3,1.0,0,3.0,4.351047397286744,17,3,1,0,1,1,15.0,18,18,33
33.0,4.2,3,4.0,2,3,2,1.0,0,3.0,11.610007969240593,18,3,2,0,16,1,10.0,7,7,40
34.0,4.9,0,4.0,0,3,2,1.0,0,3.0,7.436953702176349,9,3,6,1,20,1,10.0,6,13,41
21.0,4.7,6,4.0,0,2,2,1.0,0,2.0,3.085717461619304,14,2,1,0,15,1,15.0,14,14,15
25.0,4.1,3,4.0,0,3,2,2.0,0,3.0,8.445059523190105,18,3,2,0,16,1,5.0,7,7,36
31.0,4.7,3,1.0,2,2,1,0.0,0,3.0,13.292541359539293,19,3,3,0,10,1,15.0,2,2,26
37.0,5.0,3,1.0,1,3,2,1.0,0,3.0,1.0928620552872246,6,3,4,0,11,1,15.0,5,5,20
33.0,4.3,6,4.0,2,2,3,1.0,0,3.0,14.103805564635385,5,3,6,1,27,1,15.0,0,0,39
25.0,4.0,0,3.0,1,0,2,1.0,0,3.0,4.206080968277552,16,3,5,1,26,1,5.0,15,15,34
29.0,4.5,5,2.0,2,2,1,1.0,0,3.0,11.93304583414832,5,3,6,1,27,1,15.0,0,0,15
27.0,5.0,4,4.0,0,3,2,0.0,0,2.0,2.981597936191486,11,4,1,0,5,2,5.0,3,3,18
35.0,4.3,0,1.0,1,1,3,0.0,0,3.0,9.347294832872064,20,3,5,1,12,1,10.0,1,1,38
32.0,4.0,6,4.0,0,0,2,1.0,0,3.0,9.766194617671333,3,3,2,0,16,1,15.0,11,11,47
23.0,4.8,6,1.0,2,0,1,0.0,0,2.0,11.615316392758764,18,4,5,1,2,2,10.0,7,7,12
31.0,4.8,3,1.0,2,1,2,1.0,0,3.0,3.2783780690801105,6,4,4,0,1,2,15.0,5,5,26
36.0,4.1,4,1.0,0,1,2,1.0,0,2.0,5.192944586567293,20,3,5,1,5,1,5.0,1,1,22
26.0,4.3,3,1.0,0,0,2,0.0,0,2.0,5.3644856565098324,8,2,4,0,11,1,10.0,16,16,21
38.0,4.9,0,3.0,1,1,3,1.0,0,2.0,4.290592273627005,8,2,4,0,11,1,5.0,16,16,25
32.0,4.6,0,1.0,2,1,3,1.0,0,3.0,13.723221539816322,18,4,5,1,2,2,10.0,7,7,30
33.0,4.9,5,2.0,1,3,2,1.0,0,3.0,7.389964814368802,18,3,1,0,8,1,15.0,7,7,22
20.0,4.7,6,3.0,1,3,3,0.0,0,2.0,4.221802337722766,18,4,6,1,3,2,10.0,7,7,10
20.0,4.8,3,1.0,2,2,3,1.0,0,3.0,1.0384988675783045,20,3,2,0,30,1,10.0,1,1,19
35.0,5.0,5,1.0,2,3,3,1.0,0,2.0,2.1245458190135365,9,4,4,0,1,2,10.0,6,6,11
26.0,4.9,4,1.0,2,0,3,0.0,0,3.0,2.1699334845586966,3,3,0,0,28,1,15.0,11,11,11
22.0,4.8,1,1.0,1,3,2,1.0,0,3.0,7.594767174096674,3,3,4,0,18,1,10.0,11,11,28
35.0,4.3,0,2.0,1,3,2,1.0,0,3.0,7.591976758747241,5,3,0,0,14,1,5.0,0,0,33
